P1A1,P1A2,P1A3,P1A4,P1A5,P1A6,P2A1,P2A2,P2A3,P2A4,P2A5,P2A6
 2wks (26), elephant (14), crackers (18), North (31) , wine (11),, Yr. (2), snail (18), ham (4) , coffee (66),,
 Arm(pit)s (11), 8 (23), it (33), drill (24) , pleasure (49),, Face (18), 10 (27), home, screwdriver (44) , measure (49),
 Nose (25), everyday (36), rabbit (37), Halloween (41) , caramel (48),, Ears (29), every other day (once a wk. tied for #1), scarf, Thanksgiving , peanut butter,
 Panties (24), stupid (3), clothing (5), 10 (31) , ring (55),, Dress (7), loony (12), heart (29), eight (17) , car (4),
 Four (25), tie (26), pebble (3), black (11) , break (53),, Seven, undies (2), butt, pinto (3) , hand (7),
 Best friend (17), 10yrs (7), dog (36), clothes (46) , drinks (55),, Mom (31), yr. (17), kangaroo, jewelry , people,
 Mansion (15), 10 (15), funeral home (38), red (22) , godmother (23),, $1M/lottery (25), 9 (9), new baby , tale (60),,
 $500 (13), sleep (14), peek (8), snake (35) , stomach (43),, $1K (6), vacation (2), freak (30), shark , arm (4),
 Coworkers (4), 16, GA, coffee (18) , bananas (13),, Pillow, 12, FL (7), toothbrush/paste (35) , watermelon (46),
 Wedding (28), Big Bird (37), 35 (5), (chicken) wings (45) , put deodorant on (33),, Church (35), Bert (3), 30 (4), cheese(sticks)(6) , shave (47),
 Gun (28), three (22), wave it down (32), mood (9) , grape (48),, Hat (41), one (14), calling on phone (15), rude , strawberry,
 Firemen (25), toothbrushes (12), pig (3), 10 (33) , mop (13),, Doctor, chair (17), lion (2), 8 (11) , towels (16),
 Computer (17), 50% (27), legs (2), public , take out trash,, Printer (4), 80%, backyard, night , vacuuming (10),
 Barking (33), twice (23), “I love you” (31), airplane (46) , cast (31),, Bite him (5), four (5), “Good night” (35), boat , walker,
 8 (13), Sleepy (10), kiss (15), sauce (18) , shoes (2),, 7 (10), Happy (29), eat (35), ricotta/cheese (41) , mail (10),
 Butt (4), 5lbs (8), cage (3), Christmas (39) , radio (57),, Feet (5), 20lbs (6), elevator (25), Thanksgiving (17) , windshield wipers (4),
 8 (23), best friend (22), pistol (11), smoke (35) , Democrat (48),, 10 (35), mom (37), hat, drink/eat , Republican ,
 Respect (24), Puffs (24), 23 (10), popcorn (40) , closet (48),, Money (49), Pebbles (3), 40, chips (9) , under bed,
 10 (36), tennis (28), home (25), purple (43) , egg (32),, 7 (6), basketball, wedding (28), blue (29) , nut ,
 20 (26), 1st birthday party, horse (9), college (2) , football (50),, 30 (9), police office (11), motorcycle (14), getting married (19) , rugby (2),
 6 (10), number (29), legs (13), Africa , elephant (6),, 10 (6), place, hands (7), Hawai'i , giraffe (20),
 10 (25), head (31), diaper (31), work (42) , snakes (53),, 7 (21), throat, undies, exercise , spiders,
 Have sex (3), wiper (11), doctor's office (16), 18 (8) , horse racing (46),, Walk (15), sniper (20), DMV (15), 16 (36) , flies,
 30, black (6), food, chicken (19) , bathroom (48),, 40 (24), potato, grandkid (16), pizza (34) , bar (9),
 $100 (26), dressing rm. (2), SC, wheat (37) , stomach (44),, $20 (24), chairs (16), NE (4), rye (17) , butt (16),
 8 (11), pork (32), mouthpiece (30), horses/animals (42) , NY (56),, 10 (21), dork (37), cuff/jockstrap, cotton candy , Miami,
 Bed/pillows/covers (36), CO (21), three (16), football (41) , sentence,, TV (26), NV, two (39), tennis , month (2),
 Best friend, can of soda (15), memory, 10 days (7) , good-looking (12),, Booze (30), balloon (20), strength, five days (7) , compassionate (3),
 Three (33), bar (2), mom (2), comer , work (46),, Seven, Orlando (20), spouse/mate (46)- L (Final two answers: Scummer , play),,
 9, animals (12), fairy (25), see, monkey do (7) , new car (42), 8 (7), family (24), berry (4), business (36) , home (3),
 Shopping mall (20), 10 (18), fixing her face (35), straw (37) , mouth (57),, Restaurant (44), 9, dressing up, blue , door,
 Day (15), lewd/lude (5), mom (26), Q-tips/cotton (40) , guitar (41),, Wk. (14), prude (6), spouse/mate (38), earbuds (27) , piano,
 15, ID, door (16), flag (30) , dog,, 12 (12), 1st aid kit (18), window (18), military (3) , tiger (6),
 Mama (23), 16 (27), rabbit (6), world (32) , music (8),, Father (7), 18 (7)- G.O. (Final three answers: Iguana, time , something for college),,
 Watermelon (35), six (27), swimming pool (6), giggle (42) , Christmas (28),, Basketball (28), four (26), locker rm. (9), snicker , October,
 Bra (32), 7 (18), cake (33), juice (39) , wrapping paper (42),, Panties (23), 10 (22), presents, sauce , ribbon,
 60% (11), fox (24), hands (3), drinking (13) , bar (50),, 100% (4), frog (21), legs, their eyes , concert theater (7),
 Legs (28), home (29), 40 (23), shoes (32) , banana (55),, Upper lip/face (46), car, 30, car , orange,
 5 (14), basket (24), tacos (19), (car) keys (31) , face (53),, 10, foot (18), eggs (27)- G.O. (Final answers: Boogie Board , crotch),,
 Pillowcase (7), blender (6), CO (17), whip (39) , five (16),, Dog/pet (30), IL , six (44),,,
 Yr. (32), church (19), children (23), beaver (34) , pretty (42),, Six months (35), court, mom (21), chipmunk , ravishing,
 Earrings (30), 16 (7), sucker (23), bus (2) , cotton (64),, Shoes (35), 13 (13), popsicle/ice cream (36), class , wool,
 Marriage/love (20), food (26), 12 (23), rod (13) , drink water (2),, Kids (17), catnip (28), 13 (9), pole (40) , exercise (56),
 Two (19), step (7), pub (6), road (35) , spouse/mate (49),, Seven (11), grand (12), Panama City, artery (3) , mom,
 Horse (23), towel (6), lawyer (14), 10PM (18) , fish (53),, Boots (17), tent, doctor (15), 9PM (38) , dog (3),
 Music, five (3), fish (35), meteor (10) , blue (29),, Money (16), three (18), pig, Mars (40) , white (64) ,
 Bed(room)s (46), 14 (19), Capt. Hook (6), football (14) , towel (48),, Dwarfs (3), 15 (7), soccer (42) , clothes,,
 Cat (12), traffic (7), face/forehead (36), 15 , red nose (49),, (Grand)child, car (3), butt, 10 (16) , wig (13),
 Toilet/bathroom (16), booze (37), 200 (3), God (43) , TX (45),, Sink, BBQ (10), 150, heaven , TN (55),
 Pen(cil)(25), month (33), dad (14), tent , burgers,, Stick (4), two months (21), mom (27), ball (7) , hot dog (52),
 Five (7), hat (4), quit/get new job (31), vacation , red (63),, Eight, eye patch (29), cuss him out (29), food/groc. (44) , green,
 Smoking (30), 7 (27), pants (45), elephant (48) , potion (44),, Eating (22), 8, dress, hippo , motion ,
 Electricity, monkey/ape (28), drink (4), room , 10 (43),, Club (28), dog (19), sleep (8), matter (7) , 9 (17),
 Roller coaster (24), 4 (9), water, elephant (10) , mom (6),, Bicycle (20), 7 (12), cap (26), bear (35) , spouse/mate (58),
 Face (31), 10 (12), chips (8), germs (9) , bathroom (36),, Legs (5), 8 (18), pretzels (2), crowds/people (44) , bedroom (49),
 Tuna (26), ring (23), church, 30 , throw up (47),, Ham/cheese (3), sing (7), groc. store (7), 16 (36) , jump (8),
 8 (3), tossed (11), sporting event (2), brush teeth (6) , dust (45),, 4 (12), silly, significant other's home (4), eat (breakfast)(37) , monster,
 Drink (11), 50 (12), arm (3) , wheel (3),,, Listen to music (3), 60, rocking (29), brush teeth , merry go-rd. (49),
 $ (23), Arrow (6), deer, 2hrs , TX (8),, Kids (27), mirror (3), lion (6), hr. , FL (56),
 Valentine's Day (47), 7 (5), alpha, lemon (49) , eye (28),, Christmas (39), 6 (6), black (5), sugar (35) , leg,
 Sleigh (23), back (16), car (48), 10yrs (44) , woman (45),, Rudolph/reindeer (34), ears, train, 8yrs , road,
 Hamster (10), 10 (10), jewelry (24), baby (32) , potato (47),, Guinea pig (6), 7 (6), car (26) , corn (6),,
 Bull (26), soccer, sippy (3), every other wk. (3) , orange (17),, Horse (4), basketball (25), D, once a wk. (11) , apple (51),
 6 (4), head (24), bracelet (2), mash (7) , harmonica (19),, 7, heart (5), car (28), lash , flute (41),
 Hat/clothes (30), 13 (21), use bathroom (16), sloth (28) , bugs (39),, Hay (9), 12 (34), eat (25) , turtle,,
 Squirrel (9), 21 (2), jobs (43), L.A. (41) , striptease,, Lion, 13, NY (39) , beach (4),,
 Dad (5), Amy (28), 8 (4), Eve (15) , be petted (6),, Mom (23), Kim (2), 10 (5), gift , lick themselves (9),
 Strip joint (36), hatch (23), shirts (2), five (42) , bark (30),, Bar (42), catch (24), palm trees, six (25) , moo,
 5 (23), shoes, watch TV (18), shoes (38) , boat (52),, 6 (10), makeup (18), read (14) , pirates,,
 Piece of cake (7), 5yrs (17), cars (38) , jockstrap (9),,, Piece of pie (12), 3yrs (13), spoon (4), marriages (10) , monkey (53),
 Everything, rabbit (18), hole (2), 20 (4) , alarm clock (42),, Home (37), reindeer, mud (37), 100 , children crying (3),
 5 (28), loop (20), pig (21), Grumpy (49) , potato (64),, 7 (28), boop, panda, Dopey , beet,
 Homes, 9 (11), waist (26), drink/body shots (30) , elephant,, Boots (43), 10 (24), neck size, hook up (13) , pig,
 18 (17), rum (7), bedspread (2), Chick-O , lights (12),, 16 (3), tequila (24), shoes/clothes (18), match (4) , cards (12) ,
 10 (9), prisoners (18), horse (29), Vegas , jumbo (57),, 9 (13), bars (21), camel (28), WA (2) , “DUMBO” (28),
 Dog (20), boil (34), Happy (39), two (43) , washing machine (53)- ACED,, Bear (17), spoil, Dopey, all , dryer ,
 Rhino (13), money (26), church (18), 7 (15) , scrambled (44),, Hippo (21), obstacle course, beach/ocean (27), 8 (11) , runny,
 Canary, lipstick (20), real (19), 6PM (36) , jumping (4),, Penguin, blush (11), simple (13), 7PM (18) , running (42),
 Spouse/mate (26), 8 (35), green (36), being rich (10) , sweatshirt (20),, Friend (35), 7 (11), red (17), mom (8) , jacket (18),
 Restaurant (30), 7 (6), football (20), peach (29) , bald head (14),, Work (4), 9 (7), baseball (3), banana (31) , butt,
 2 (16), back (28), Feb. (8) , steam (3),,, 8 (10), chest (2), Apr. (6), banjo (2) , beam (5),
 Groin (9), $100 (25), umbrella (41), dog (7) , video games (21),, Legs, $50 (12), toupee (10), plank (42) , candy/food (52),
 Gun (38), 8 (24), milk (29), airplane (42) , lawnmower (57),, Wallet (5), 10 (22), bread, roller coaster/amusement park , hedger,
 Chocolate/candy (14), donkey (3), 8 (13), car (32) , board (42),, Cake (8), pig (7), 10 (35), your brain (2) , wave (2),
 2hrs (4), tail (25), Christmas (5), spider (30) , limb (4),, :05, batteries, anniversary (27), cockroach (19) , tree,
 Whistle (9), 9 (12), big (4), lifeguard (44) , stethoscope (60),, Cat (11), 8 (21), cheese (28), aquarium worker (2),,
,,,,,,,,,,,
 Beer (36), head/ego (31), cleaner (21), dog (38) ," leg",, Food/soda (39), car (9), dream (37), cat , forehead/face ,
 Wallet (17), five (20), poop (5), ex(-boyfriend)(30) ," flower shop (59)",, Watch, three (14), walk , boutique,,
 30min (35), groom (30), hair (28), apple (44) ," seat (53)",, Hr. (20), cake, fingernails, orange , gearshift,
 10 (21), tooth (5), brush teeth (27), person (2) ," patch (45)",, 8 (10), tattoo (24), eat (23), garbage (cans)(30) , hook (15),
 Dog (16), tank (20), 25% (6), cry (37) ," lemon (61)",, Gopher (12), dishwasher, 20% (6), kiss dad (9) , grapefruit,
 Mom (33), 3 (22), temperature, cake (44) ," lipstick/makeup (52)",, Kids (32), 2 (21), urine, souffle , perfume,
 Covering over privates, football (25), 8 (9), beauty ," cow (53)",, Nose (11), soccer (4), 10 (3), wisdom/experience (33) , anteater,
 Home (41), 1 (4), spouse/mate (37) ," stomach (53)",,, Car (37), 3 (5), washing, friend (35) , chest,
 5 (6), boots (28), farting, vacation (8) ," corn (5)",, 20, cowboy hat (19), licking (23), college (11) , “Crush” (5),
 Lion tamer (4), soup (4), dang (5), butt (12) ," tooth (66)",, Zookeeper (12), breast (2), sang (17), privates (10) , gun (13),
 8 (15), soccer (23), going to movies (16), steak (40) ," heart (43)",, 10 (5), lacrosse, singing (2), burger (7) , dreams (19),
 Walking, off from work (8), 5PM (3), ex ," bar (35)",, Sex (4), tired (32), 10PM (26), spouse/mate (34) , home (58),
 Lingerie (22), 10 (4), jet/plane (28), judge (44) ," kids (30)",, Flowers (24), 7 (25), boat (16), jury (10) , money/finances,
 $1M (21), coffee (28), Dave, mom (32) ," orange (6)",, $2M, soup (17), fili (11), principal (4) , apple (59),
 Teacher (2), 8 (16), pigeon (22), NY (9) ," Brown",, Mom (28), 7 (16), blue jay (5), VT (2) , Bush (10),
 8 (19), pizza (30), cowboys (17), apple (40) ," feet/body (48)",, 10 (33), hamburger (23), bulls/cows, cherry , nails,
 5 (12), cup (17), sex (19), gravy ," kiss (64)",, 9 (11), shop (9), sleep (19), mac ‘n cheese (3) , lipstick (15),
 Church (18), 8 (15), white shoes (4), balloon (36) ," face (53)",, Hell, 7 (11), t-shirt (5), pimple/zit (7) , genitals (6),
 65° (3), back (8), ball (33), prom (37) ," blue (57)",, 70° (25), hip (7), Frisbee (34), wedding , pink,
 9 (17), Christmas (21), gun (4), ball (9) ," bra (32)",, 5 (42), New Yr.'s (Eve)(26), alarm (39), bucket (36) , heels,
 30, operator (24), money (6), mink (11) ," apple (5)",, 70 (9), criminal (14), keys, ink (4) , watermelon (50),
 $1K (22), elephant (20), money/success (24), cash bar (17) ," Vegas (44)",, $500 (21), cow (23), women (15), no cake/food (34) , Hawai'i,
 (21st) birthday (9), 7 (20), banana bread (39), mom (21) ," hair (54)",, Graduation (13), 6 (15), smoothie (14), spouse/mate (48) , plant,
 8 (11), bumble (8), bar/club (25), fries (31) ," flashlight (45)",, 10 (17), fumble (10), WAFFLE HOUSE (19), mime , power switch (7),
 Sandpaper (7), toilet (8), wedding (7), 10 (36) ," $ (40)",, Cardboard, floor (4), musical (5), 9 (19) , jewelry (6),
 Dog, hip (7), football (25), 20 (36) ," mosquito (41)",, Rhino (7), spouse/mate (25), basketball (19), 30 (11) , syringe,
 Diamonds/jewelry (31), lion (21), nope (23), 10 (41) ," bicycle (57)",, Dress (2), elephant (23), elope, 9 (20) , car,
 You (42), 5 (26), wand (13), bowling ball (35) ," barking (9)",, Food (33), 10 (8), rabbit (36), pins , rolling over,
 8 (8), phone (24), spouse/mate (19) ," tooth (34)",,, 7, toilet (15) , star (45),,,
 Pizza delivery person (4), alarm clock (26), ugly face (4), butt (2) ," 10 (40)",, Luggage handler (7), sheets (11), fat (15), bug (4) , 9 (9),
 Mall (3), driving (2), the bottom, 5 (30) ," mosquito (18)",, School, business (10), 7 (18) , fly (55) ,,
 8 (56), apple (9), bed (16), job (5) ," guitar (48)",, 7 (28), grape (25), car (5), kids , harp (7)- PL,
 Bra (10), muddle (28), mountains, hour (44) ," tire (59)",, Girdle (10), fuddle, chair (21), 45min , time,
 18 (5), airplane (35), tiger, fall (49) ," home (57)",, 21 (2), stadium (13), elephant (30), skate , car (29),
 Mom (39), 4, boots (39), Q (36) ," another dog (44)",, Grandma, 3 (15), spurs, Y , cat (44),
 Clothes on (12), 16, belly (28), French fries (47) ," bar (56) ",, Blanket, 10 (5), chest (12)- L (Final answers: Hamburger , w/ his buddies),,
 10 (8), cycle (8), artist (14), work (31) ," mom (15)",, 6 (5), boat (12), attorney (9), sleeping (20) , grandma,
 Mom (42), 8, frown (34), church (38) ," feet (45)",, Grandma, 1 (17), down (30), school , hands,
 Sleeping (34), 8 (21), horse (21), fart (41) ," lollipop (43)",, Watching TV (2), 6 (13), unicycle (18) , belch (4- pet tied for #1),,
 Turning off TV (3), 9 (8), gun (28), shoes ," pictures/yearbooks (44)",, Turning off lights (45), 10 (2), darts (7), rug (10) , date (42) ,
 Crying (43), 4 (8), dogs (4), dress/skirt (44) ," toupee (16)",, Drinking (30), 5 (11), Santa (2), girdle , comb-over (44),
 5 (20), ham/meat (29), cars (4), beer (46) ," question mark (54)",, 2 (17), lettuce (27), woman (35), soda , exclamation point,
 Get fired (22), spaghetti/pasta/noodles (22), lemon (9), day (32) ," birthday (55)",, Argue w/ boss (2), eggs (17), eye (8), hour (13) , day(s)(8),
 4 (11), chicken (11), cheese (15), car (35) ," giraffe (45)",, 3 (25), potato (23), tease (28), home (13) , elephant,
 Fried/cooked (48), 5 (12), drinking too much (26), milk (28) ," piano (30)",, Chopped (7), 8 (25), sun, bean (30) , computer,
 7 (8), chip (21), stomach (14), humpy (9) ," face",, 10 (8), skinny (16), butt (28), stumpy (2) , couch (8),
 Daughter (5), go, 50% (7), bee (20) ," ache (48)",, Mom (26), bed (8), 100%, mosquito (16) , decay (4),
 Christmas (22), 3 (11), TV (6), chest (3) ," sleigh (15)",, Anniversary (8), 12 (16), car (23), shoulder (7) , reindeer (13),
 Lunch (15), ouch (28), driving (39), butt (24) ," once a wk. (53)",, Pen(cil)s (23), pouch (34), honking, nose , twice a day,
 Rubbish (21), dog (39), 5 (3) ," dirty scoundrels (3)",,, Dishes/clean (38), 12 (29), tomato (39) , extra swing,,
 Text (15), 5 (24), fly kite (26), FL (31) ," peanuts (62)",, Phone (10), 4 (12), running (22), TX , hazelnuts,
 3hrs (19), mom (9), plane (33), full (2) ," polar bear",, 2hrs (29), dad, amusement ride (17), tuck (47) , lizard (10),
 Football (24), 21 (3), video game, playing cards (18) ," bra (40)",, Baseball (14), 35 (16), elevator (19) , dress,,
 Cow (3), milk (39), camp (18), gun (47) ," candy (48)",, Giraffe (25), soda, talking, arrow (40) , sugar,
 10 (16), silver (22), work (27), strawberries ," mosquito (42)",, 3 (15), blue (14), school (5), candy (20) , bee (7),
 20 (10), nose (28), poop (11), mom (29) ," eating (51)",, 1K, shoes (7), whipped cream, daughter (9) , smiling (19),
 10 (22), arms (23), mosquito, pants (4) ," ride bike (64)",, 3 (2), knees/legs (24), Spanish, (Swiss) cheese (33) , drive (4),
 Drink (44), push-ups (12), 20 (26), grandfather (2) ," stomach (59)",, Smoke (38), swimming, 15 (9) , dad (10),,
 20 (30), cherry (33), Scarecrow (34), mom (7) ," head (53)",, 100 (6), air, Lion (18), spouse/mate (40) , home,
